DEBUG:18/03/2025 17:45:08 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316308.4464571

DEBUG:18/03/2025 17:45:09 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316309.4485004

DEBUG:18/03/2025 17:45:10 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316310.4497526

DEBUG:18/03/2025 17:45:11 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316311.4508364

DEBUG:18/03/2025 17:45:12 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316312.4532104

DEBUG:18/03/2025 17:45:13 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316313.4544797

DEBUG:18/03/2025 17:45:14 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316314.4559183

DEBUG:18/03/2025 17:45:15 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316315.4575088

DEBUG:18/03/2025 17:45:16 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316316.4584699

DEBUG:18/03/2025 17:45:17 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316317.4601321

DEBUG:18/03/2025 17:45:18 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316318.462044

DEBUG:18/03/2025 17:45:19 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316319.4631069

DEBUG:18/03/2025 17:45:20 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316320.4642844

DEBUG:18/03/2025 17:45:21 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316321.466771

DEBUG:18/03/2025 17:45:22 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316322.4676857

DEBUG:18/03/2025 17:45:23 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316323.4693778

DEBUG:18/03/2025 17:45:24 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316324.47045

DEBUG:18/03/2025 17:45:25 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316325.4721704

DEBUG:18/03/2025 17:45:26 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316326.4745283

DEBUG:18/03/2025 17:45:27 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316327.4758348

DEBUG:18/03/2025 17:45:28 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316328.477002

DEBUG:18/03/2025 17:45:29 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316329.4786582

DEBUG:18/03/2025 17:45:30 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316330.4798732

DEBUG:18/03/2025 17:45:31 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316331.481535

DEBUG:18/03/2025 17:45:32 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316332.4831302

DEBUG:18/03/2025 17:45:33 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316333.4851763

DEBUG:18/03/2025 17:45:34 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316334.486065

DEBUG:18/03/2025 17:45:35 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316335.4883502

DEBUG:18/03/2025 17:45:45 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316345.0730348

DEBUG:18/03/2025 17:45:46 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316346.0750878

DEBUG:18/03/2025 17:45:47 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316347.0761762

DEBUG:18/03/2025 17:45:48 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316348.076768

DEBUG:18/03/2025 17:45:49 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316349.0776565

DEBUG:18/03/2025 17:45:50 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316350.0786812

DEBUG:18/03/2025 17:45:51 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316351.0804982

DEBUG:18/03/2025 17:45:52 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316352.081951

DEBUG:18/03/2025 17:45:53 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316353.0836265

DEBUG:18/03/2025 17:45:54 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316354.0850494

DEBUG:18/03/2025 17:45:55 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316355.0865374

DEBUG:18/03/2025 17:45:56 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316356.088609

DEBUG:18/03/2025 17:45:57 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316357.089875

DEBUG:18/03/2025 17:45:58 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316358.0916708

DEBUG:18/03/2025 17:45:59 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316359.0933096

DEBUG:18/03/2025 17:46:00 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316360.0943942

DEBUG:18/03/2025 17:46:01 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316361.095516

DEBUG:18/03/2025 17:46:02 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316362.0965889

DEBUG:18/03/2025 17:46:03 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316363.0975728

DEBUG:18/03/2025 17:46:04 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316364.098799

DEBUG:18/03/2025 17:46:05 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316365.1002626

DEBUG:18/03/2025 17:46:06 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316366.102516

DEBUG:18/03/2025 17:46:07 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316367.1048784

DEBUG:18/03/2025 17:46:08 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316368.1066713

DEBUG:18/03/2025 17:46:09 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316369.1079218

DEBUG:18/03/2025 17:46:10 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316370.1099615

DEBUG:18/03/2025 17:46:11 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316371.1109905

DEBUG:18/03/2025 17:46:12 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316372.1129506

DEBUG:18/03/2025 17:46:13 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316373.1153493

DEBUG:18/03/2025 17:46:14 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316374.1164796

DEBUG:18/03/2025 17:46:15 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316375.1190438

DEBUG:18/03/2025 17:46:16 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316376.1203232

DEBUG:18/03/2025 17:46:17 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316377.1220987

DEBUG:18/03/2025 17:46:18 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316378.1238046

DEBUG:18/03/2025 17:46:19 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316379.1247706

DEBUG:18/03/2025 17:46:20 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316380.1254854

DEBUG:18/03/2025 17:46:21 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316381.126605

DEBUG:18/03/2025 17:46:22 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316382.127934

DEBUG:18/03/2025 17:46:23 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316383.1298127

DEBUG:18/03/2025 17:46:24 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316384.1312006

DEBUG:18/03/2025 17:46:25 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316385.132424

DEBUG:18/03/2025 17:46:26 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316386.133712

DEBUG:18/03/2025 17:46:27 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316387.1349738

DEBUG:18/03/2025 17:46:28 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316388.1366348

DEBUG:18/03/2025 17:46:29 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316389.1379132

DEBUG:18/03/2025 17:46:30 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316390.1398695

DEBUG:18/03/2025 17:46:31 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316391.1405866

DEBUG:18/03/2025 17:46:32 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316392.1419654

DEBUG:18/03/2025 17:46:33 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316393.1445804

DEBUG:18/03/2025 17:46:34 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316394.1465282

DEBUG:18/03/2025 17:46:35 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316395.148154

DEBUG:18/03/2025 17:46:36 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316396.1492898

DEBUG:18/03/2025 17:46:37 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316397.151977

DEBUG:18/03/2025 17:46:38 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316398.1540499

DEBUG:18/03/2025 17:46:39 Medida(media, maximo)=-1,-1,-1 dB    Time=1742316399.155907

